email,password,role,uuid,first_name,last_name,date_of_birth,country,hiv_status,diagnosis_date,art_status,art_start_date,life_expectancy
john11@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,BFE5FAB4-97DF-43AC-8818-51A2343BFD0B,Lily,Williams,11-07-2001,KEN,N,11-12-1998,Y,04-02-1996,10
mary97@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,AC056218-E5ED-4269-8C83-8F7B14169CF8,Tom,Brown,06-04-1996,UGA,P,20-09-2004,Y,02-04-2012,19
mary74@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,EFDA2EC5-7771-4182-A2F0-7827386B7AB7,Lucy,Williams,19-03-1985,KEN,N,09-10-2020,Y,08-07-2001,32
tom85@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,FC4AF9B7-01A7-4642-A429-3EDB912E5DD0,Mary,Garcia,01-01-1988,UGA,N,28-11-1994,Y,14-07-2016,17
tom82@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,E4B0CB9D-7C49-4DBB-9318-ED94FA363B1D,Peter,Miller,24-02-1979,TZA,P,15-09-2012,Y,15-02-2017,28
jane53@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,D04CC983-08C0-44D5-9AF3-8FD507CFB2FC,John,Doe,22-10-1994,RWA,N,02-02-2005,Y,21-01-2012,40
joy10@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,687C41FC-93FD-42E0-9F43-E58BA4088F20,Peter,Doe,12-03-1976,TZA,N,01-11-1990,N,11-05-2005,43
mary43@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,6BFCB4A4-6E05-4CF6-AA11-97E47D2FF0B1,Mary,Johnson,02-02-1984,TZA,P,05-03-2001,Y,21-06-1999,22
mary14@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,A5F9BFAB-7A8B-4969-ADA2-1F29A9AA3105,Lily,Neda,01-04-1971,BDI,N,15-12-2005,N,05-08-2012,29
alice74@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,77F30161-64BC-4D59-B8B1-38FB1DC71863,Alice,Garcia,24-09-1973,RWA,N,04-03-2016,N,01-03-1998,24
lily18@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,8C720E0F-6615-4C66-9F37-C49FDF776F14,Paul,Neda,24-05-1972,UGA,N,09-03-2017,Y,11-03-2015,21
lucy51@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,92B1B4D5-5E57-4D33-AA7C-77C3C6D7C496,Mary,Johnson,04-06-1970,BDI,N,19-07-2001,N,15-06-1997,22
jane74@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,5DF324AC-5BEA-42AD-A9CA-B405EA726A30,Lucy,Neda,25-10-1992,UGA,N,07-12-2005,Y,18-04-2000,10
lucy13@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,94D48610-5ED5-4082-83E6-7B64BD639670,Mary,Garcia,17-01-1997,TZA,P,23-05-1991,N,15-07-2005,18
peter93@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,7F09A22A-F156-4A1C-968B-E43263469E01,Joy,Neda,06-02-1990,RWA,P,05-12-2018,Y,12-04-2016,10
tom46@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,D3E79B87-0C38-4B63-B96B-A3C4DF1DC4F0,Joy,Neda,23-11-1970,TZA,P,06-10-2007,N,21-05-1995,12
lily86@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,7B81D47F-34D1-4F48-932C-37300F231ADA,Joy,Brown,09-03-1974,KEN,P,12-10-1992,Y,28-05-2002,46
alice18@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,09A976EE-3A83-4F8F-BBAA-B6E3ABF7E881,Mary,Davis,15-10-1990,RWA,N,17-12-2005,N,23-03-2017,21
jane63@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,4E0C14F6-447C-4538-8FB5-871C0B11DAC9,Mary,Williams,28-04-1990,BDI,P,25-06-1992,Y,13-12-1998,44
tom31@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,99EBBDDF-137A-4AED-BF6A-367ED72479A6,Peter,Miller,17-02-1996,RWA,P,27-12-1992,Y,12-02-2020,31
peter23@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,A7DEE602-D2FC-4AF5-B191-34BF710BD314,Joy,Miller,09-04-1977,BDI,P,12-04-2007,Y,20-03-1997,14
joy99@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,A7BD7645-8687-4878-8F19-0E4132E3E052,Jane,Miller,08-05-1983,KEN,P,24-12-2000,Y,14-04-2006,41
lucy33@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,938B81AC-B10A-40AF-A68C-95FD608B6537,Peter,Brown,23-04-1983,RWA,P,20-06-2007,Y,15-05-2003,18
lily30@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,14B23BF3-B8D7-4104-9234-4F42403BC23A,Alice,Davis,26-06-1985,UGA,N,25-06-2016,Y,17-06-2006,12
tom85@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,38D718A7-BE04-49C3-80BC-8C8400A99C55,Peter,Davis,05-07-1989,RWA,N,10-12-2012,N,08-05-2005,44
jane95@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,898A4716-B29E-4AC1-AE45-FC2BD542B033,Tom,Brown,14-07-2004,TZA,N,10-05-1998,N,26-05-2014,32
john38@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,4B1094DC-39D1-47EE-A9F3-931D8E4A696E,Paul,Garcia,20-03-2008,BDI,P,05-05-2005,N,10-08-2002,34
lucy98@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,82A9E3AE-6E47-4448-A3C5-09163C7BA632,Lily,Williams,23-05-1995,UGA,N,01-09-1995,N,24-09-2009,48
jane52@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,94FAAC60-57FE-4B34-A5FD-D40087EEDDE9,Tom,Miller,10-10-2006,UGA,P,06-06-1999,Y,22-09-1995,12
jane16@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,CA0CBE6C-74DC-40CD-97AF-CA337D87F528,Tom,Doe,27-10-2008,BDI,N,06-04-2012,Y,20-08-2001,39
lily55@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,AE153685-F25B-4E8E-B28B-A4D3CEB227C1,Alice,Williams,21-08-1997,RWA,P,10-06-1992,N,09-01-2007,10
joy11@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,63BBF45E-4E2D-43C9-A846-EC1DB95F4813,John,Garcia,10-07-1992,UGA,N,11-05-2015,Y,05-11-1996,43
tom90@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,5BF3E832-25A2-44B3-B2B5-E98BC1C9E019,Joy,Davis,03-12-1978,RWA,N,21-04-2015,Y,04-04-1998,34
lucy38@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,29E8873B-9786-477D-A8CC-D82970C070C8,Tom,Davis,23-02-2001,RWA,N,01-02-2015,Y,15-08-2014,45
lucy71@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,FBA41DF9-FB94-451C-B294-82214A9A60D8,Jane,Neda,06-08-1999,UGA,P,16-03-1990,N,25-05-2002,16
peter15@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,045BB7A7-2776-4539-B89D-47841EF601FD,Lucy,Doe,19-04-1984,RWA,P,25-04-2013,N,22-01-2012,17
paul5@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,8B085B64-0AB6-4699-9D3D-7B657C8FFD96,Peter,Brown,22-09-1983,BDI,N,04-09-2015,Y,13-02-2019,28
joy42@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,7EC5096E-72A0-41EB-BDA4-096F85454959,Joy,Doe,10-11-1971,BDI,N,24-04-2002,N,07-07-1998,25
mary32@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,B56AD88A-D85D-44B1-9F5D-3DBB15A14837,Mary,Garcia,07-06-2005,UGA,N,12-03-1992,Y,13-01-2001,31
john16@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,E08B064A-1074-48C5-A0E9-468292C318C5,Peter,Wilson,06-01-1998,RWA,P,22-06-1990,N,24-09-2003,44
jane30@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,25A4ED36-681B-4B84-A53D-51CF0A334CC8,Jane,Garcia,19-08-1987,KEN,N,25-06-2014,N,09-09-2018,19
mary70@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,CB52D250-E10F-4867-A18F-7719D6151848,John,Brown,13-05-1975,KEN,N,19-03-1998,N,08-08-2003,45
jane79@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,732CC3AF-F090-43FC-85C7-03015417E412,Alice,Williams,09-09-1974,TZA,P,23-07-2009,Y,09-05-2007,19
john84@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,F9EEF69C-7FD7-4117-A98E-137487220D88,Lily,Brown,27-01-2007,UGA,N,03-10-1993,Y,04-02-2015,31
lily11@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,254CEA79-B983-4B3A-BDF2-0060FFE94FDE,Peter,Brown,05-02-2009,TZA,P,14-06-1999,Y,22-03-2019,33
joy48@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,085E31FC-BC15-4949-9A5E-6D8D1F6C2D49,Lucy,Brown,04-07-1989,UGA,N,05-05-1997,N,06-03-2016,24
peter8@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,E97D0EBC-C171-4C0C-8689-CADFA904F6B7,Alice,Smith,12-02-2003,BDI,P,16-04-2003,Y,01-05-1996,48
paul97@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,6A177976-8511-4212-B798-5567F34056DC,Lucy,Davis,21-07-1993,TZA,P,21-07-2017,N,16-12-1995,24
lily84@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,D0AFCBFA-D2B1-499F-9CD7-E0C164DE75B8,Tom,Brown,07-05-2002,KEN,P,21-09-2007,Y,21-03-2002,32
paul44@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,52B9BC98-75A1-4CDB-ACFD-0C35EC712482,Mary,Neda,15-11-1986,KEN,P,09-03-2017,N,22-06-1996,37
jane61@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,E601AA69-8EEE-4ACB-8CE9-D7C12C7F1824,Joy,Neda,23-02-1976,UGA,N,01-09-2006,Y,26-08-2011,50
alice78@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,4B10CA9C-13C1-4DD0-B313-1B5598FD9F1C,Jane,Davis,08-10-2010,RWA,N,20-04-2009,N,21-07-1998,38
paul14@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,F3F85DAC-52E6-445F-9A02-7FE4B8A5DDA8,Mary,Johnson,08-02-1977,BDI,P,28-02-2003,Y,24-04-1998,25
lily27@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,8914104A-E72B-4FF1-8E9F-331B11BA9879,Alice,Neda,07-02-1990,KEN,N,12-08-2003,N,10-12-1998,14
mary16@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,538B9862-E6FB-4F8F-A7D9-5CFBCCB143D9,Jane,Brown,12-11-1973,TZA,N,17-11-1995,Y,15-01-2007,21
john54@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,BF566097-4C80-4428-A072-BA4B8FA15F12,Alice,Williams,11-08-1989,TZA,P,22-04-1998,Y,25-06-2010,35
peter30@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,1410FECC-1220-4FB2-A52D-10EF578D7C0B,Jane,Wilson,01-02-1985,UGA,N,26-09-1991,Y,13-06-1998,48
lily56@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,5D5F8328-052D-4E56-B210-958B71C3E594,Mary,Miller,21-05-2007,BDI,P,16-09-1999,N,12-11-2005,33
alice100@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,22E6F504-1062-4580-994D-6E8F62853673,Joy,Doe,28-07-2005,TZA,N,14-05-1995,Y,14-10-1995,10
jane58@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,778DDBE5-0BA7-434C-A72A-BEBA510A15E9,Jane,Doe,03-03-1999,UGA,N,27-07-2001,Y,28-04-2001,50
alice37@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,EB519EB2-BBB9-4C9C-B62D-397B847B5C46,Mary,Doe,23-05-1984,UGA,N,01-09-1996,N,26-03-2001,31
joy65@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,A3B2708E-F449-4134-9859-1C00AC41125C,Paul,Doe,06-12-2008,KEN,N,26-01-2014,N,08-09-2017,44
lily87@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,8D73636A-B2B5-44E4-BC0C-E99DD5EF90D1,Tom,Doe,20-06-1992,BDI,P,26-12-1998,N,14-10-2006,37
alice68@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,A15C6EA9-A0FB-4715-B300-C26C11585BD7,Lily,Smith,02-08-1989,TZA,N,19-11-2007,Y,21-05-2015,23
joy12@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,6BFF3AA6-7DEA-4C6F-8BA5-AABDC58CD925,Peter,Williams,09-12-1976,RWA,N,09-08-2005,Y,01-02-2013,12
mary31@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,B94374EC-9851-4797-9779-71D61D6E7A16,Joy,Davis,04-03-1984,TZA,N,14-01-2002,Y,16-10-2009,32
mary83@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,95782473-D3DD-4E42-850F-A17E534395A1,Peter,Davis,19-10-1977,KEN,P,13-04-2002,N,25-04-2007,25
peter38@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,CF2E519C-C7A4-4D28-B15A-A58EF4919F02,John,Davis,06-07-1994,KEN,P,11-07-1992,N,13-07-2011,15
peter68@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,F21C7346-B065-4B32-868F-38E6E6F5CF45,Peter,Doe,01-04-1994,KEN,N,27-12-2014,Y,07-07-1996,43
alice65@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,6A7BBF6C-65D1-4C1D-A6BF-2F20A370B989,Peter,Garcia,08-10-1984,RWA,N,18-05-2016,N,07-10-1996,13
lucy100@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,3CD24A98-4FF9-4272-92D0-A0F0631168A9,Joy,Brown,03-12-2000,BDI,N,22-08-2004,N,14-05-1996,29
mary2@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,D9AA4103-E4E9-4B9B-B985-11453EBCA8CD,Lucy,Neda,02-03-1979,RWA,N,13-02-1996,Y,21-12-2020,20
mary38@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,328AE9F6-9A2B-4844-9E5B-7060F5A1F0EC,Mary,Miller,15-02-2000,RWA,P,09-10-1994,N,10-09-2015,37
paul63@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,16556914-D1BB-450C-AF09-AB110E31A692,Jane,Doe,20-03-1996,RWA,N,25-11-1990,Y,05-03-2011,37
mary16@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,F243BD18-2B41-45AB-848B-26412172936A,Tom,Davis,09-10-1993,BDI,N,15-03-2008,Y,08-10-2009,13
joy23@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,67DCF0F8-D046-4D5D-9EAA-B20A60FFD0B2,Peter,Garcia,20-01-1999,KEN,P,17-05-1990,N,11-07-2018,40
tom42@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,C8B04454-2F9C-4BB4-B1B7-CBFF51A3ABD0,John,Johnson,22-03-1983,TZA,P,14-09-2007,N,09-03-2010,39
tom40@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,7EEF6FE2-E250-4CCC-B8E9-8F6595239A51,Lily,Williams,23-02-1984,KEN,P,25-10-1990,N,13-07-2006,29
tom18@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,516229D6-C778-4D66-9478-0650A2E0E4FC,Peter,Johnson,01-11-1997,BDI,N,04-02-1993,Y,22-04-2018,30
paul64@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,C42FBFF7-14B7-4802-9301-5CFC7692B476,Lucy,Johnson,19-09-1990,UGA,P,05-01-2015,N,01-09-2014,32
lucy16@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,DA6A9F3A-769A-468F-8C03-C750DCFD54BA,Peter,Johnson,15-10-2006,UGA,N,20-10-2003,Y,16-06-2006,48
joy25@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,7C013653-FBE8-4158-BCB6-CF8F47C93CBD,Paul,Wilson,06-11-2010,RWA,N,01-10-1994,Y,27-09-1997,17
alice80@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,A8D76620-60A2-4E64-8E4C-A88595876659,Alice,Davis,14-01-2001,UGA,N,18-11-2008,Y,25-08-2006,45
lucy99@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,F9F0F3A1-39CE-4456-BC35-2B2CECCB5A16,Tom,Garcia,08-10-1995,UGA,N,19-12-2009,Y,26-11-2000,43
tom29@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,8C20A8FA-53CA-466E-A910-86791B3A1A73,Joy,Doe,27-04-2007,BDI,N,10-05-1996,N,19-03-2020,31
jane10@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,0DE5B3FF-FC6E-4500-8FEA-EAA8274991F5,Peter,Johnson,01-02-1991,TZA,N,14-06-2017,N,11-02-2006,35
jane54@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,DBFA6588-A943-42BC-AA4B-BE8E1B7A0236,Tom,Wilson,07-04-1980,RWA,P,25-02-1998,Y,21-10-2007,50
john29@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,E5678912-CFBF-46F2-BA9B-FD8079DFDC6C,Joy,Doe,03-12-1999,UGA,P,17-01-2018,Y,01-10-2002,49
alice72@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,F837B1D2-3F2E-4F63-B7CF-114EDDA70604,Tom,Davis,15-02-2004,KEN,N,19-06-2006,Y,05-06-2007,32
peter94@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,354C7A1D-C279-45F8-BC99-64F05D00B30D,Paul,Williams,06-09-1991,RWA,N,26-11-2012,Y,28-05-2009,18
alice24@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,CE68FBF5-C7D6-46A8-BEF6-D4FA3238C9F4,Jane,Smith,04-10-1974,UGA,N,22-11-2016,N,06-08-2013,49
lucy4@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,D99BA537-1252-4196-928B-F3CCBE22731B,Peter,Davis,07-04-1977,KEN,N,11-01-2011,N,10-07-2014,45
jane57@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,995062F4-E353-484A-B0D5-0501FC8A7108,Joy,Johnson,19-06-1991,KEN,N,19-08-1999,N,08-01-2010,24
joy72@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,7B724887-2DAC-48CD-B340-7902A245C019,Lucy,Garcia,11-04-1980,UGA,N,12-12-2000,N,15-11-2009,14
joy45@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,92CEC0AF-238A-4D29-80B4-C337BA516E5E,Mary,Miller,13-02-1987,TZA,P,03-11-1990,N,07-10-2006,31
jane55@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,16EAAC34-6D11-4DC4-82E6-64137346E8F3,Jane,Brown,22-06-1973,TZA,N,26-10-1991,Y,25-03-2008,35
peter76@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,EF7B899D-7CBB-40E3-94AE-28981EBC42D4,Tom,Johnson,14-02-1982,UGA,N,07-07-2003,Y,26-10-2006,22
